MACH, ALPHA, CL
1.3,1.50,0.487
1.3,2.00,0.658
1.3,2.50,0.834
1.3,3.00,1.014
1.3,3.50,1.197
1.3,4.00,1.384
1.3,4.50,1.558
1.3,5.00,1.742
1.3,5.50,1.929
1.3,6.00,2.117
1.3,6.50,2.307
1.3,7.00,2.499
1.3,8.00,2.893
1.3,9.00,3.294
1.3,10.00,3.698
1.3,13.00,4.995
1.3,15.00,5.935
1.3,20.00,8.612
----------
1.4,0.50,0.122
1.4,1.00,0.247
1.4,1.50,0.376
1.4,2.00,0.508
1.4,2.50,0.645
1.4,3.00,0.785
1.4,3.50,0.928
1.4,4.00,1.075
1.4,4.50,1.212
1.4,5.00,1.358
1.4,5.50,1.506
1.4,6.00,1.656
1.4,6.50,1.809
1.4,7.00,1.963
1.4,8.00,2.279
1.4,9.00,2.610
1.4,10.00,2.947
1.4,13.00,4.067
1.4,15.00,4.913
1.4,20.00,7.511
----------
1.5,0.50,0.118
1.5,1.00,0.239
1.5,1.50,0.364
1.5,2.00,0.493
1.5,2.50,0.626
1.5,3.00,0.763
1.5,3.50,0.902
1.5,4.00,1.045
1.5,4.50,1.179
1.5,5.00,1.322
1.5,5.50,1.466
1.5,6.00,1.612
1.5,6.50,1.760
1.5,7.00,1.910
1.5,8.00,2.219
1.5,9.00,2.541
1.5,10.00,2.868
1.5,13.00,3.967
1.5,15.00,4.801
1.5,20.00,7.419
----------
1.6,0.50,0.114
1.6,1.00,0.231
1.6,1.50,0.352
1.6,2.00,0.476
1.6,2.50,0.605
1.6,3.00,0.737
1.6,3.50,0.872
1.6,4.00,1.011
1.6,4.50,1.140
1.6,5.00,1.278
1.6,5.50,1.418
1.6,6.00,1.560
1.6,6.50,1.704
1.6,7.00,1.849
1.6,8.00,2.151
1.6,9.00,2.465
1.6,10.00,2.784
1.6,13.00,3.871
1.6,15.00,4.721
1.6,20.00,7.346
----------
1.7,0.50,0.110
1.7,1.00,0.223
1.7,1.50,0.340
1.7,2.00,0.461
1.7,2.50,0.585
1.7,3.00,0.713
1.7,3.50,0.845
1.7,4.00,0.979
1.7,4.50,1.106
1.7,5.00,1.240
1.7,5.50,1.376
1.7,6.00,1.515
1.7,6.50,1.655
1.7,7.00,1.799
1.7,8.00,2.097
1.7,9.00,2.405
1.7,10.00,2.719
1.7,13.00,3.805
1.7,15.00,4.691
1.7,20.00,7.322
----------
1.8,0.50,0.106
1.8,1.00,0.216
1.8,1.50,0.329
1.8,2.00,0.446
1.8,2.50,0.567
1.8,3.00,0.691
1.8,3.50,0.819
1.8,4.00,0.950
1.8,4.50,1.073
1.8,5.00,1.205
1.8,5.50,1.338
1.8,6.00,1.473
1.8,6.50,1.612
1.8,7.00,1.755
1.8,8.00,2.047
1.8,9.00,2.350
1.8,10.00,2.661
1.8,13.00,3.752
1.8,15.00,4.670
1.8,20.00,7.256
----------
1.9,0.50,0.103
1.9,1.00,0.209
1.9,1.50,0.318
1.9,2.00,0.432
1.9,2.50,0.550
1.9,3.00,0.671
1.9,3.50,0.795
1.9,4.00,0.923
1.9,4.50,1.043
1.9,5.00,1.172
1.9,5.50,1.302
1.9,6.00,1.435
1.9,6.50,1.573
1.9,7.00,1.714
1.9,8.00,2.002
1.9,9.00,2.301
1.9,10.00,2.608
1.9,13.00,3.721
1.9,15.00,4.658
1.9,20.00,7.130
