2.671,10592.725,2.425,0.018,4.081,0.848,1286.494,0.598
2.721,10562.444,2.414,0.018,4.111,0.861,1282.354,0.601
2.771,10532.163,2.402,0.018,4.141,0.874,1280.603,0.604
2.821,10501.882,2.39,0.018,4.172,0.887,1278.852,0.607
2.871,10472.722,2.378,0.018,4.202,0.899,1262.897,0.61
2.921,10444.426,2.367,0.018,4.23,0.911,1180.579,0.612
2.971,10423.449,2.358,0.018,4.252,0.92,1025.818,0.614
3.021,10404.476,2.351,0.018,4.268,0.925,732.088,0.615
3.071,10393.869,2.347,0.018,4.275,0.926,465.805,0.615
3.121,10387.109,2.344,0.018,4.278,0.925,297.913,0.615
3.171,10381.303,2.341,0.018,4.277,0.921,138.567,0.614
3.221,10380.323,2.341,0.018,4.273,0.917,60.106,0.613
3.271,10379.343,2.341,0.018,4.268,0.912,25.858,0.612
3.284,10379.093,2.341,0.018,4.267,0.91,4.367,0.612
3.303,10379.093,2.341,0.018,4.264,0.908,0,0.612
3.332,10379.093,2.341,0.018,4.261,0.905,0,0.611
3.375,10379.093,2.341,0.018,4.256,0.901,0,0.61
3.425,10379.093,2.341,0.018,4.251,0.895,0,0.609
3.475,10379.093,2.341,0.018,4.245,0.89,0,0.608
3.525,10379.093,2.341,0.018,4.24,0.885,0,0.607
3.575,10379.093,2.341,0.018,4.234,0.88,0,0.606
3.625,10379.093,2.341,0.018,4.229,0.875,0,0.604
3.675,10379.093,2.341,0.018,4.224,0.87,0,0.603
3.725,10379.093,2.341,0.018,4.219,0.865,0,0.602
3.775,10379.093,2.341,0.018,4.214,0.86,0,0.601
3.825,10379.093,2.341,0.018,4.209,0.856,0,0.6
3.875,10379.093,2.341,0.018,4.204,0.851,0,0.599
3.925,10379.093,2.341,0.018,4.2,0.846,0,0.598
3.975,10379.093,2.341,0.018,4.195,0.841,0,0.597
4.025,10379.093,2.341,0.018,4.19,0.837,0,0.596
4.075,10379.093,2.341,0.018,4.186,0.832,0,0.595
4.125,10379.093,2.341,0.018,4.181,0.828,0,0.594
4.175,10379.093,2.341,0.018,4.177,0.823,0,0.593
4.225,10379.093,2.341,0.018,4.173,0.819,0,0.592
4.275,10379.093,2.341,0.018,4.169,0.815,0,0.591
4.325,10379.093,2.341,0.018,4.164,0.81,0,0.59
4.375,10379.093,2.341,0.018,4.16,0.806,0,0.589
4.425,10379.093,2.341,0.018,4.156,0.802,0,0.589
4.475,10379.093,2.341,0.018,4.152,0.797,0,0.588
