"motor:","Cesaroni 11077N2600-P"
"contributor:","Andre Choquette"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e900000006bc/"

"Time (s)","Thrust (N)"
0.063,2794.141
0.199,2497.593
0.485,2619.507
0.907,2777.666
1.367,2902.875
1.749,2949.005
2.051,2972.07
2.764,2817.206
3.549,2392.154
3.767,2309.779
3.958,2385.564
4.177,639.226
4.265,138.389
4.297,0
