"motor:","Cesaroni 12066N2200-P"
"contributor:","Greg Gardner"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e900000007da/"

"Time (s)","Thrust (N)"
0.033,2755.85
0.143,2434.78
0.624,2555.18
1.814,2602.01
2.67,2461.54
4.186,2130.43
4.66,2063.55
4.796,1852.84
5.067,775.92
5.236,474.916
5.497,180.602
5.86,0
