"motor:","Cesaroni 13766N2500-P"
"contributor:","Casey Hatch"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e9000000014f/"

"Time (s)","Thrust (N)"
0.02,773.7
0.05,3356.6
0.06,3657.8
0.1,3546.8
0.25,3403.8
0.4,3309.2
0.8,3262.5
1,3206.1
1.5,3088.5
2,2940.4
2.5,2792.6
3,2598.4
3.5,2402.5
4,2227
4.25,2152.5
4.4,2102.5
4.5,2007
4.6,1683.8
4.75,1269.5
5,767.3
5.41,341.3
5.42,0
